 2024-08-11 02:00:48:246 | thread_id:3612 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 02:00:48'}
 2024-08-11 02:00:48:285 | thread_id:3612 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/', 'method': 'POST', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 02:00:48'}
 2024-08-11 02:00:48:331 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 02:00:48:340 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 02:00:48:348 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 02:00:48:353 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 02:00:48:365 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 02:00:48:399 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 02:00:48:423 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 exceed the maximum request limit
 2024-08-11 02:00:48:437 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 exceed the maximum request limit
 2024-08-11 02:00:48:451 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 exceed the maximum request limit
 2024-08-11 02:00:48:464 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 02:00:48:472 | thread_id:3612 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
